country,capital,elev_m,elev_ft
Bolivia,La Paz,"3,640","11,942"
Ecuador,Quito,"2,850","9,350"
Colombia,Bogotá,"2,625","8,612"
Ethiopia,Addis Ababa,"2,355","7,726"
Bhutan,Thimphu,"2,334","7,657"
Eritrea,Asmara,"2,325","7,628"
Yemen,Sanaʽa,"2,250","7,382"
Mexico,Mexico City,"2,240","7,350"
Iran,Tehran,"1,830","6,003"
Kenya,Nairobi,"1,795","5,889"
Afghanistan,Kabul,"1,790","5,873"
Namibia,Windhoek,"1,721","5,646"
Lesotho,Maseru,"1,673","5,489"
Rwanda,Kigali,"1,567","5,141"
Guatemala,Guatemala City,"1,529","5,016"
Burundi,Gitega,"1,504","4,934"
Zimbabwe,Harare,"1,483","4,865"
Nepal,Kathmandu,"1,400","4,593"
Mongolia,Ulaanbaatar,"1,350","4,429"
Madagascar,Antananarivo,"1,288","4,226"
South Africa,Pretoria,"1,271","4,170"
Zambia,Lusaka,"1,270","4,167"
Eswatini,Mbabane,"1,243","4,078"
Uganda,Kampala,"1,190","3,904"
Costa Rica,San José,"1,146","3,760"
Tanzania,Dodoma,"1,120","3,675"
Brazil,Brasília,"1,079","3,540"
Malawi,Lilongwe,"1,024","3,360"
Andorra,Andorra la Vella,"1,023","3,356"
Honduras,Tegucigalpa,990,"3,250"
Armenia,Yerevan,989,"3,246"
Botswana,Gaborone,983,"3,225"
Turkey,Ankara,938,"3,077"
Venezuela,Caracas,909,"2,982"
Jordan,Amman,900,"2,490"
Tajikistan,Dushanbe,789,"2,589"
Palestine,East Jerusalem and Ramallah[Note 1],779 (and 880),"2,557 (and 2,890)"
Nigeria,Abuja,777,"2,549"
Kyrgyzstan,Bishkek,771,"2,530"
Israel,Jerusalem,754,"2,474"
Cameroon,Yaoundé,726,"2,382"
Syria,Damascus,691,"2,267"
Spain,Madrid,667,"2,188"
El Salvador,San Salvador,658,"2,159"
Saudi Arabia,Riyadh,624,"2,047"
Australia,Canberra,605,"1,985"
Bulgaria,Sofia,580,"1,900"
Pakistan,Islamabad,560,"1,830"
South Sudan,Juba,550,"1,800"
Switzerland,Bern,542,"1,778"
Chile,Santiago,521,"1,709"
Bosnia and Herzegovina,Sarajevo,518,"1,699"
Uzbekistan,Tashkent,459,"1,506"
Liechtenstein,Vaduz,455,"1,493"
Georgia,Tbilisi,451,"1,480"
Sudan,Khartoum,377,"1,237"
Central African Republic,Bangui,369,"1,211"
Mali,Bamako,349,"1,145"
Kazakhstan,Nur-Sultan (Astana),338,"1,109"
San Marino,San Marino,328,"1,076"
Burkina Faso,Ouagadougou,305,"1,001"
Chad,N'Djamena,298,978
Slovenia,Ljubljana,281,922
