,country,5k_medals,10k_medals,marathon_medals,num_5ks,num_10ks,num_marathons,elev_ft,tempF,gdpPerCapita,pop,weight_kg,5k_medals_per_person,10k_medals_per_person,marathon_medals_per_person
0,Algeria,1,0,0,1.0,1.0,1.0,3,72.5,4326.997,44616624,25.5,2.241317048102967e-05,0.0,0.0
1,Argentina,0,0,3,0.0,2.0,4.0,33,58.64,11300.1571,45605826,27.7,0.0,0.0,6.578106928706872e-05
2,Australia,0,3,1,36.0,43.0,32.0,1985,70.97,57447.1711,25788215,27.1,0.0,0.00011633220833624971,3.8777402778749906e-05
3,Bahrain,0,0,1,0.0,0.0,1.0,20,80.87,23283.8146,1748296,24.8,0.0,0.0,0.0005719855219024696
4,Belgium,1,1,2,20.0,19.0,18.0,249,49.19,47607.0736,11632326,26.1,8.596732932003454e-05,8.596732932003454e-05,0.00017193465864006908
5,Brazil,0,0,1,8.0,7.0,9.0,3540,76.91,9638.1461,213993437,26.6,0.0,0.0,4.673040510116205e-06
6,Burundi,1,0,0,0.0,0.0,0.0,4934,67.64,303.0493,12255433,21.7,8.159646419673625e-05,0.0,0.0
7,Canada,0,0,1,76.0,85.0,64.0,243,22.37,48137.4033,38067903,26.9,0.0,0.0,2.626884911417369e-05
8,Chile,0,0,1,0.0,4.0,4.0,1709,47.21,16320.7947,19212361,28.0,0.0,0.0,5.204982354849568e-05
9,China,1,2,1,18.0,11.0,34.0,144,44.51,10710.3777,1444216107,23.8,6.924171494508889e-07,1.3848342989017777e-06,6.924171494508889e-07
10,Czech Republic,2,2,1,2.0,6.0,8.0,801,45.59,24218.8137,10724555,27.1,0.00018648792420757784,0.00018648792420757784,9.324396210378892e-05
11,Djibouti,0,0,1,0.0,0.0,0.0,0,82.4,2593.3284,1002187,24.0,0.0,0.0,0.0009978177725314737
12,Eritrea,0,1,0,0.0,0.0,0.0,7628,77.9,2253.5261,3601467,20.7,0.0,0.00027766462944128046,0.0
13,Estonia,0,0,1,3.0,8.0,12.0,121,41.18,25079.5172,1325185,26.4,0.0,0.0,0.0007546116202643405
14,Ethiopia,15,24,11,0.0,1.0,1.0,7726,71.96,843.0114,117876227,20.6,0.0001272521218379343,0.00020360339494069488,9.331822268115181e-05
15,Finland,13,15,5,10.0,23.0,32.0,82,35.06,52131.2604,554836,25.9,0.0023430346985415513,0.0027035015752402513,0.0009011671917467504
16,France,3,3,1,44.0,84.0,44.0,112,51.26,43958.7034,65426179,25.0,4.585320502974811e-05,4.585320502974811e-05,1.5284401676582703e-05
17,Germany,7,1,4,163.0,249.0,144.0,112,47.3,49548.2308,83900473,26.6,8.343218756347179e-05,1.1918883937638825e-05,4.76755357505553e-05
18,Hungary,0,1,0,1.0,6.0,3.0,335,49.55,18448.3054,9634164,27.3,0.0,0.00010379727810321684,0.0
19,Ireland,1,0,1,6.0,15.0,20.0,26,48.74,81314.9834,4982907,27.5,0.00020068606538311873,0.0,0.00020068606538311873
20,Italy,1,2,2,15.0,43.0,47.0,46,56.21,34628.7455,60367477,25.6,1.656521109868481e-05,3.313042219736962e-05,3.313042219736962e-05
21,Japan,0,0,9,11.0,17.0,33.0,56,52.07,43596.8659,126050804,22.7,0.0,0.0,7.139978258290204e-05
22,Kenya,14,11,12,6.0,8.0,7.0,5889,76.55,1984.4433,54985698,23.3,0.00025461166283639793,0.00020005202080002694,0.00021823856814548394
23,Morocco,4,3,2,0.0,8.0,9.0,174,62.78,3455.7962,37344795,26.0,0.00010710997342467673,8.033248006850755e-05,5.3554986712338364e-05
24,Netherlands,1,0,1,37.0,51.0,35.0,-7,48.65,55606.2129,17173099,25.6,5.823060823209603e-05,0.0,5.823060823209603e-05
25,New Zealand,2,0,3,16.0,22.0,16.0,32,50.99,46278.4451,4860643,28.0,0.00041146819464009187,0.0,0.0006172022919601378
26,Norway,0,0,1,9.0,18.0,22.0,40,34.7,80251.133,546563,26.7,0.0,0.0,0.00018296152502090334
27,Poland,1,1,0,4.0,4.0,12.0,305,46.13,17019.1792,37797005,26.7,2.6457122727052053e-05,2.6457122727052053e-05,0.0
28,Portugal,1,3,3,24.0,35.0,16.0,49,59.27,24578.4661,10167925,25.6,9.834848309758383e-05,0.0002950454492927515,0.0002950454492927515
29,Romania,1,0,2,1.0,4.0,9.0,230,47.84,13756.5929,19127774,26.9,5.227999870763843e-05,0.0,0.00010455999741527686
30,Russia,1,5,4,7.0,13.0,10.0,407,22.82,11427.845,145912025,26.2,6.853444738362037e-06,3.426722369181019e-05,2.7413778953448148e-05
31,South Africa,0,1,2,15.0,25.0,21.0,4170,63.95,6440.942,60041994,27.3,0.0,1.6655009825289947e-05,3.3310019650579894e-05
32,South Korea,0,0,2,7.0,13.0,8.0,108,52.7,33999.6818,51305186,23.8,0.0,0.0,3.89824139805282e-05
33,Sweden,4,3,2,16.0,20.0,25.0,49,35.78,56762.8353,10160169,26.0,0.00039369423874740665,0.000295270679060555,0.00019684711937370333
34,Switzerland,1,0,0,5.0,17.0,14.0,1778,41.9,84986.8063,8715494,25.2,0.00011473818925238202,0.0,0.0
35,Tanzania,1,0,0,8.0,7.0,13.0,3675,72.23,1055.1162,61498437,23.2,1.626057585821246e-05,0.0,0.0
36,Tunisia,2,2,0,0.0,3.0,4.0,0,66.56,2944.9304,11935766,26.3,0.00016756360672620427,0.00016756360672620427,0.0
37,Turkey,1,0,0,8.0,6.0,6.0,3077,51.98,9519.3901,85042738,27.9,1.1758793560950496e-05,0.0,0.0
38,UK,5,6,3,59.0,104.0,96.0,46,47.21,42914.5839,68207116,27.1,7.330613421625979e-05,8.796736105951175e-05,4.3983680529755875e-05
39,USA,4,4,13,714.0,466.0,457.0,7,47.39,66678.0263,332915073,28.9,1.2015076289441543e-05,1.2015076289441543e-05,3.904899794068501e-05
40,Uganda,0,0,1,1.0,1.0,2.0,3904,73.04,713.444,47123.531,22.5,0.0,0.0,2.122082065539613e-05
