country,num_10ks
Albania,1
Algeria,1
Andorra,1
Antigua and Barbuda,1
Argentina,2
Armenia,1
Aruba,3
Australia,43
Austria,17
Bahamas,3
Barbados,1
Belarus,1
Belgium,19
Bermuda,2
Bolivia,1
Bosnia and Herzegovina,3
Botswana,2
Brazil,7
Brunei,3
Bulgaria,4
Cambodia,6
Canada,85
Chile,4
China,11
Colombia,3
Democratic Republic of the Congo,2
Cook Islands,1
Costa Rica,3
Croatia,16
Cuba,1
Curaçao,4
Cyprus,20
Czech Republic,6
Denmark,9
Dominican Republic,4
Ecuador,2
Egypt,7
Estonia,8
Ethiopia,1
Fiji,1
Finland,23
France,84
French Polynesia,1
Gabon,1
Gambia,1
Georgia,2
Germany,249
Ghana,2
Greece,25
Guadeloupe,1
Guam,1
Honduras,1
Hong Kong,4
Hungary,6
Iceland,5
India,94
Indonesia,4
Iran,1
Ireland,15
Israel,11
Italy,43
Jamaica,5
Japan,17
Jordan,4
Kazakhstan,3
Kenya,8
Kuwait,1
Lao People's Democratic Republic,1
Latvia,5
Lithuania,2
Macedonia,1
Malawi,1
Malaysia,31
Maldives,4
Malta,6
Mauritius,2
Mexico,10
Monaco,1
Morocco,8
Myanmar,2
Namibia,1
Nepal,2
Netherlands,51
New Zealand,22
Nigeria,6
Northern Mariana Islands,1
Norway,18
Oman,2
Panama,1
Paraguay,1
Peru,3
Philippines,2
Poland,4
Portugal,35
Puerto Rico,1
Qatar,1
Romania,4
Russia,13
Rwanda,1
Sao Tome and Principe,1
Senegal,1
Serbia,5
Seychelles,1
Sierra Leone,1
Singapore,6
Slovakia,2
Slovenia,7
Somalia,1
South Africa,25
South Korea,13
Spain,24
Sri Lanka,3
Sweden,20
Switzerland,17
Taiwan,4
Tanzania,7
Thailand,41
Trinidad and Tobago,1
Tunisia,3
Turkey,6
Turks and Caicos Islands,1
Uganda,1
Ukraine,21
United Arab Emirates,5
United Kingdom,104
United States of America,466
Uruguay,1
Vietnam,24
Zambia,1
